City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,portobelo,9.55,-79.65,91.4,46,40,21.92,PA,1583533088
315,pljevlja,43.33,19.33,42.8,81,85,3.36,ME,1583533088
316,pontianak,-0.03,109.33,74.88,95,99,1.01,ID,1583533088
317,fortuna,40.6,-124.16,57.0,71,90,10.29,US,1583533088
318,dolores,-36.31,-57.68,80.28,46,1,15.26,AR,1583533058
319,fushun,41.86,123.92,37.4,86,90,4.47,CN,1583533088
320,aswan,24.09,32.91,62.6,27,0,11.41,EG,1583533088
321,bac lieu,9.29,105.72,72.82,94,100,4.94,VN,1583533088
322,faya,18.39,42.45,57.2,82,0,4.7,SA,1583533088
323,broken hill,-31.95,141.43,59.0,67,8,10.29,AU,1583533088
324,trincomalee,8.57,81.23,71.33,92,99,2.8,LK,1583533089
325,mumbwa,-14.98,27.06,62.35,97,1,3.67,ZM,1583533089
326,tutoia,-2.76,-42.27,84.2,83,40,9.17,BR,1583533089
327,cleethorpes,53.56,-0.03,39.99,67,25,5.82,GB,1583533089
328,emba,48.83,58.14,6.35,79,30,10.51,KZ,1583533089
329,helong,42.54,129.0,23.23,88,100,3.91,CN,1583533089
330,wilson,36.15,-86.28,51.01,42,0,16.11,US,1583533089
331,northam,51.03,-4.22,46.0,86,1,1.12,GB,1583533089
332,kupang,-10.17,123.58,75.2,100,20,1.12,ID,1583533089
333,ponta do sol,32.67,-17.1,62.6,67,40,16.11,PT,1583533089
334,praia,14.92,-23.51,73.4,73,33,17.22,CV,1583532904
335,ende,-8.84,121.66,82.45,75,100,6.62,ID,1583533089
336,amga,60.9,131.96,4.03,93,100,3.65,RU,1583533089
337,lata,40.16,-8.33,54.0,66,20,8.05,PT,1583533089
338,atbasar,51.8,68.33,-4.04,89,7,5.75,KZ,1583533090
339,clyde river,70.47,-68.59,-23.8,74,75,5.82,CA,1583533090
340,pietarsaari,63.65,22.68,30.0,92,11,11.41,FI,1583533090
341,surgut,61.25,73.42,1.4,70,100,8.95,RU,1583533090
342,vardo,70.37,31.11,28.4,86,100,32.21,NO,1583533090
343,souillac,-20.52,57.52,81.0,74,40,8.05,MU,1583533090
344,talnakh,69.49,88.4,-27.4,67,57,6.71,RU,1583533090
345,sobolevo,54.43,31.9,35.96,96,100,4.76,RU,1583533090
346,trelew,-43.25,-65.31,91.22,18,100,23.0,AR,1583532816
347,asosa,10.07,34.53,79.09,15,8,6.06,ET,1583533090
348,viedma,-40.81,-63.0,93.06,23,69,13.49,AR,1583533091
349,maniitsoq,65.42,-52.9,18.7,74,100,18.34,GL,1583533091
350,vangaindrano,-23.35,47.6,73.78,98,100,10.56,MG,1583533091
351,ambilobe,-13.2,49.05,74.05,95,100,1.25,MG,1583533091
352,mehamn,71.04,27.85,32.0,92,75,19.46,NO,1583533091
353,inongo,-1.95,18.27,73.13,95,47,3.02,CD,1583533091
354,lawrenceburg,38.04,-84.9,39.99,59,90,12.75,US,1583533091
355,chicama,-7.84,-79.15,75.2,78,75,10.29,PE,1583533091
356,hambantota,6.12,81.12,77.0,100,40,2.24,LK,1583533091
357,sisimiut,66.94,-53.67,2.39,82,100,3.56,GL,1583533091
358,riyadh,24.69,46.72,71.6,16,0,6.93,SA,1583533091
359,udayagiri,20.13,84.38,70.16,92,85,0.85,IN,1583533091
360,amot,59.57,7.99,27.0,83,95,3.49,NO,1583533091
361,le vauclin,14.55,-60.84,80.6,65,40,16.11,MQ,1583533091
362,byron bay,-28.65,153.62,80.01,94,90,10.29,AU,1583533092
363,mariental,-24.63,17.97,77.94,29,0,10.13,NA,1583533092
364,coquimbo,-29.95,-71.34,66.2,72,75,10.29,CL,1583533092
365,san rafael del sur,11.85,-86.44,95.0,36,40,20.8,NI,1583533092
366,rio verde de mato grosso,-18.92,-54.84,81.05,66,47,6.96,BR,1583533092
367,bosaso,11.28,49.18,77.68,78,98,5.21,SO,1583533092
368,joshimath,30.57,79.57,29.12,97,100,0.87,IN,1583533092
369,lorengau,-2.02,147.27,84.54,79,100,10.78,PG,1583533092
370,bilma,18.69,12.92,68.2,13,0,3.71,NE,1583533092
371,namatanai,-3.67,152.43,84.2,72,100,5.32,PG,1583533092
372,isangel,-19.55,169.27,84.2,79,20,5.82,VU,1583533092
373,cody,44.53,-109.06,59.0,1,100,10.29,US,1583533093
374,didao,45.37,130.8,13.44,94,100,3.44,CN,1583533093
375,kyabram,-36.32,145.05,60.01,69,0,17.0,AU,1583533093
376,abu samrah,35.3,37.18,54.79,66,98,12.46,SY,1583533093
377,ndjole,-0.18,10.76,73.83,98,100,4.05,GA,1583533093
378,bilibino,68.05,166.44,-13.31,100,99,1.61,RU,1583533093
379,yurimaguas,-5.9,-76.08,75.2,100,75,11.41,PE,1583533093
380,mar de espanha,-21.87,-43.01,66.0,84,3,3.13,BR,1583533074
381,george,-33.96,22.46,73.4,83,7,5.82,ZA,1583533093
382,williams lake,52.14,-122.14,32.0,55,40,3.36,CA,1583533093
